0.4360246658	-2.9996013641	3.8678548336
1.4360818863	-2.9996140003	3.8427379131
2.4361391068	-2.9996049404	3.8300037384
3.4361963272	-2.9996268749	3.8204925060
4.4362535477	-2.9996352196	3.8125762939
5.4363107681	-2.9996652603	3.8056535721
6.4363679886	-2.9996697903	3.7994117737
7.4364252090	-2.9996800423	3.7936303616
8.4364824295	-2.9996786118	3.7882528305
9.4365396500	-2.9996817112	3.7832179070
10.4365968704	-2.9996840954	3.7783923149
11.4366540909	-2.9996867180	3.7738413811
12.4367113113	-2.9996719360	3.7694864273
13.4367685318	-2.9996900558	3.7653017044
14.4368257523	-2.9996821880	3.7612800598
15.4368829727	-2.9996988773	3.7574152946
16.4369401932	-2.9997186661	3.7536702156
17.4359974861	-2.9997088909	3.7500474453
18.4360547066	-2.9996933937	3.7465343475
19.4361119270	-2.9997012615	3.7431633472
20.4361686707	-2.9997117519	3.7398550510
21.4362258911	-2.9996967316	3.7366607189
22.4362831116	-2.9996967316	3.7335300446
23.4363403320	-2.9996953011	3.7305109501
24.4363975525	-2.9996867180	3.7275700569
25.4364547729	-2.9996953011	3.7247025967
26.4365119934	-2.9997050762	3.7219119072
27.4365692139	-2.9997074604	3.7191665173
28.4366264343	-2.9997055531	3.7165110111
29.4366836548	-2.9996907711	3.7139041424
30.4367408752	-2.9997062683	3.7113595009
31.4367980957	-2.9997048378	3.7088463306
32.4368553162	-2.9996731281	3.7064108849
33.4369125366	-2.9997036457	3.7039785385
34.4369697571	-2.9997115135	3.7016196251
35.4360270500	-2.9997191429	3.6993126869
36.4360842705	-2.9996912479	3.6970076561
37.4361414909	-2.9997043610	3.6947586536
38.4361987114	-2.9996991158	3.6925408840
39.4362559319	-2.9996922016	3.6903297901
40.4363126755	-2.9996967316	3.6881642342
41.4363698959	-2.9997005463	3.6860194206
42.4364271164	-2.9996981621	3.6839096546
43.4364843369	-2.9997124672	3.6818163395
44.4365415573	-2.9997103214	3.6797492504
45.4365987778	-2.9996845722	3.6777181625
46.4366559982	-2.9996798038	3.6756746769
47.4367132187	-2.9996771812	3.6736645699
48.4367704391	-2.9997031689	3.6716768742
49.4368276596	-2.9996936321	3.6697020531
50.4368848801	-2.9996979237	3.6677470207
51.4369421005	-2.9996957779	3.6658022404
52.4359993935	-2.9997005463	3.6638972759
53.4360566139	-2.9996812344	3.6620109081
54.4361138344	-2.9996802807	3.6601080894
55.4361710548	-2.9996817112	3.6582520008
56.4362282753	-2.9996867180	3.6563961506
57.4362854958	-2.9996840954	3.6545789242
58.4363427162	-2.9996964931	3.6527431011
59.4363999367	-2.9996960163	3.6509649754
60.4364566803	-2.9996905327	3.6491801739
61.4365139008	-2.9997029305	3.6473884583
62.4365711212	-2.9997074604	3.6456263065
63.4366283417	-2.9996881485	3.6438856125
64.4366855621	-2.9996950626	3.6421594620
65.4367427826	-2.9997103214	3.6404631138
66.4368000031	-2.9997057915	3.6387767792
67.4368572235	-2.9996979237	3.6371052265
68.4369144440	-2.9997036457	3.6354391575
69.4369716644	-2.9997131824	3.6337988377
70.4360289574	-2.9997057915	3.6321866512
71.4360861778	-2.9997110367	3.6305480003
72.4361433983	-2.9997179508	3.6289563179
73.4362006187	-2.9996981621	3.6273736954
74.4362578392	-2.9997160435	3.6257832050
75.4363150597	-2.9997131824	3.6242620945
76.4363722801	-2.9997067451	3.6227135658
77.4364295006	-2.9996953011	3.6212074757
78.4364867210	-2.9996931553	3.6196916103
79.4365434647	-2.9997088909	3.6181876659
80.4366006851	-2.9997081757	3.6167294979
81.4366579056	-2.9997050762	3.6152691841
82.4367151260	-2.9997074604	3.6138319969
83.4367723465	-2.9997122288	3.6124062538
84.4368295670	-2.9997179508	3.6109862328
85.4368867874	-2.9997117519	3.6096057892
86.4369440079	-2.9997057915	3.6082220078
87.4360013008	-2.9997184277	3.6068551540
88.4360580444	-2.9997251034	3.6055054665
89.4361157417	-2.9997193813	3.6041843891
90.4361724854	-2.9997034073	3.6028635502
91.4362301826	-2.9997100830	3.6015474796
92.4362869263	-2.9997031689	3.6002633572
93.4363446236	-2.9997041225	3.5989763737
94.4364013672	-2.9996972084	3.5977087021
95.4364590645	-2.9996895790	3.5964479446
96.4365158081	-2.9997034073	3.5951941013
97.4365735054	-2.9997088909	3.5939786434
98.4366302490	-2.9997096062	3.5927579403
99.4366874695	-2.9997057915	3.5915639400
100.4367446899	-2.9997003078	3.5903928280
101.4368019104	-2.9997072220	3.5892024040
102.4368591309	-2.9997036457	3.5880262852
103.4369163513	-2.9997200966	3.5868759155
104.4369730949	-2.9997248650	3.5857141018
105.4360308647	-2.9997377396	3.5845818520
106.4360876083	-2.9997224808	3.5834200382
107.4361453056	-2.9997332096	3.5823156834
108.4362020493	-2.9997293949	3.5812058449
109.4362597466	-2.9997317791	3.5801045895
110.4363164902	-2.9997220039	3.5790073872
111.4363741875	-2.9997315407	3.5779199600
112.4364309311	-2.9997124672	3.5768470764
113.4364886284	-2.9997212887	3.5757632256
114.4365453720	-2.9997115135	3.5746970177
115.4366030693	-2.9997138977	3.5736575127
116.4366598129	-2.9997112751	3.5726037025
117.4367175102	-2.9997241497	3.5715527534
118.4367742538	-2.9997074604	3.5705218315
119.4368314743	-2.9997167587	3.5694718361
120.4368886948	-2.9997105598	3.5684690475
121.4369459152	-2.9996976852	3.5674560070
122.4360027313	-2.9996967316	3.5664441586
123.4360599518	-2.9997136593	3.5654454231
124.4361171722	-2.9997181892	3.5644335747
125.4361743927	-2.9997153282	3.5634517670
126.4362316132	-2.9997048378	3.5624589920
127.4362888336	-2.9997179508	3.5614676476
128.4363460541	-2.9997193813	3.5604870319
129.4364032745	-2.9997274876	3.5595207214
130.4364604950	-2.9997348785	3.5585384369
131.4365177155	-2.9997329712	3.5575625896
132.4365749359	-2.9997253418	3.5566155910
133.4366321564	-2.9997301102	3.5556564331
134.4366893768	-2.9997291565	3.5547094345
135.4367465973	-2.9997303486	3.5537548065
136.4368038177	-2.9997451305	3.5528085232
137.4368610382	-2.9997360706	3.5518584251
