0	3.9897482395
0.000277762609944917	3.982912302
0.000555523961456724	3.9800019264
0.000833286107791781	3.9777240753
0.00111104841966409	3.9757332802
0.00138881043351935	3.973941803
0.00166657231492258	3.972288847
0.00194433439497607	3.9707577229
0.00222209664065014	3.9693109989
0.00249985746232608	3.9679217339
0.00277761888011945	3.9666051865
0.00305537917195951	3.9653542042
0.00333314131828934	3.9641265869
0.0036109032327778	3.9629611969
0.00388866484924921	3.9618551731
0.00416642603522376	3.960745573
0.00444419046649512	3.9596765041
0.00472167442353916	3.9586360455
0.00499943726527512	3.9576392174
0.00527720043816892	3.9566493034
0.00555496324676409	3.9556779861
0.0058327248963485	3.9547476768
0.00611048859910595	3.9538459778
0.00638825187133876	3.9529550076
0.00666601494489354	3.952070713
0.00694377821712636	3.951218605
0.00722154211856184	3.9503793716
0.00749930396682429	3.9495751858
0.00777706750398892	3.948759079
0.00805483061065671	3.9479799271
0.00833259355173169	3.9472005367
0.00861035559872254	3.9464402199
0.00888811837423249	3.9456999302
0.00916588075235859	3.9449539185
0.00944364319668292	3.9442248344
0.00972112708756717	3.9435348511
0.00999888886960361	3.9428443909
0.0102766511152777	3.9421601295
0.010554413394037	3.941505909
0.0108321767656366	3.9408459663
0.0111099391768757	3.9402053356
0.0113877001641167	3.9395673275
0.0116654629396266	3.9389226437
0.0119432254833177	3.9382987022
0.0122209890204824	3.9376974106
0.0124987527894658	3.9370956421
0.0127765161610377	3.9364976883
0.0130542782080059	3.9359180927
0.0133320406854433	3.9353415966
0.0136098017720788	3.9347808361
0.0138875621301449	3.934211731
0.0141653235479611	3.9336640835
0.0144428072403382	3.9331052303
0.0147205694197811	3.9325742722
0.0149983312680207	3.9320597649
0.0152760943747106	3.9315283298
0.0155538565541082	3.9310200214
0.0158316188329178	3.9305098057
0.0161093837609184	3.9299998283
0.0163871467351285	3.9295127392
0.016664909047006	3.9290115833
0.0169426724517128	3.9285180569
0.0172204346973365	3.9280481339
0.0174981969430053	3.9275593758
0.017775960215216	3.9271101952
0.0180537234874708	3.9266338348
0.0183314855013033	3.9261777401
0.0186092478132259	3.9257111549
0.0188870099925957	3.9252624512
0.0191647720396143	3.924826622
0.0194422558312311	3.9243748188
0.0197200185405373	3.9239547253
0.019997781812748	3.9235184193
0.0202755433298755	3.9230985641
0.0205533056086399	3.9226925373
0.0208310671920212	3.922287941
0.0211088294376448	3.9218592644
0.021386593471554	3.9214565754
0.0216643569755836	3.9210493565
0.0219421191550264	3.9206521511
0.022219879579295	3.920245409
0.0224976414275801	3.9198377132
0.0227754053621068	3.9194526672
0.0230531669123473	3.9190747738
0.0233309299196538	3.9186878204
0.0236086905758157	3.9183111191
0.0238864519604452	3.9179155827
0.0241639353549661	3.9175481796
0.0244416980973353	3.9171750546
0.0247194592501968	3.9168093204
0.0249972208997535	3.9164485931
0.0252749828474053	3.9160759449
0.0255527451261647	3.9157044888
0.0258305061465464	3.9153637886
0.0261082672331542	3.9150207043
0.0263860285515807	3.9146559238
0.0266637904991822	3.9143037796
0.026941553572737	3.9139471054
0.0272193162820209	3.9136164188
0.0274970787263452	3.913257122
0.0277748415018552	3.9129087925
0.0280526044429302	3.9125709534
0.0283303671853271	3.9122459888
0.0286081306893787	3.9118981361
0.0288858945576734	3.9115438461
0.0291633795071977	3.911221981
0.0294411426469507	3.9108917713
0.0297189075087467	3.9105644226
0.0299966724036279	3.9102268219
0.0302744355434087	3.9099032879
0.0305521982858056	3.9095664024
0.0308299612600157	3.9092476368
0.0311077239361589	3.9089188576
0.0313854873739845	3.908598423
0.0316632525007123	3.9082672596
0.0319410180910222	3.9079473019
0.0322187830521572	3.9076404572
0.0324965478145864	3.9072980881
0.0327743103583053	3.9070148468
0.0330520755181183	3.9066970348
0.0333298391877628	3.9063820839
0.0336076022282046	3.9060587883
0.0338850880709415	3.90574193
0.0341628522041958	3.9054255486
0.0344406166023541	3.9051067829
0.0347183803051116	3.9047999382
0.0349961431137067	3.904481411
0.035273907114509	3.9041824341
0.035551669923132	3.9038903713
0.0358294323343433	3.9035804272
0.0361071948780568	3.9032657146
0.0363849574217757	3.9029593468
0.0366627207933753	3.9026815891
0.0369404842311731	3.9023556709
0.0372182465430732	3.9020519257
0.0374960094510352	3.9017746449
0.0377737717298223	3.9014809132
0.038051534637812	3.901144743
0.0383292985723605	3.9008510113
0.038607062341344	3.9005613327
0.0388845483494804	3.9002542496
0.0391623125158477	3.8999369144
0.03944007482772	3.899643898
0.0397178384642514	3.899340868
0.0399956011072816	3.8990490437
0.0402733661346703	3.89874053
0.0405511290426601	3.8984282017
0.0408288918181423	3.898141861
0.0411066559513966	3.8978500366
0.0413844191242626	3.8975615501
0.0416621834231312	3.8972482681
0.0419399469271551	3.8969564438
0.042217709669552	3.8966693878
0.0424954722794691	3.8963701725
0.0427732345582562	3.8960838318
0.043050997664924	3.8957788944
0.0433287602086151	3.8954732418
0.0436062449265523	3.8951954842
0.0438840073377636	3.8948795795
0.0441617697821158	3.8945877552
0.0444395326900777	3.8942809105
0.044717296823332	3.8939936161
0.044995059863746	3.8937017918
0.0452728235002775	3.8934011459
0.0455505860771094	3.8930988312
0.045828349846065	3.8928091526
0.0461061128202808	3.8925199509
0.0463838766223495	3.8922288418
0.0466616387024308	3.8919425011
0.0469394029350241	3.8916251659
0.0472171652800318	3.8913347721
0.0474949294132584	3.8910229206
0.0477726937783315	3.8907222748
0.0480504559246665	3.8904502392
0.0483279412710669	3.8901543617
0.0486057034504645	3.8898410797
0.0488834658286131	3.8895406723
0.0491612292001906	3.889251709
0.0494389923399935	3.8889460564
0.0497167553141869	3.8886642456
0.0499945185864418	3.8883776665
0.0502722814281554	3.8880617619
0.0505500440049819	3.8877542019
0.0508278072771925	3.887468338
0.0511055692248166	3.8871567249
0.0513833316691462	3.886868
0.0516610937492779	3.8865551949
0.0519388556637713	3.8862581253
0.0522166177769881	3.8859450817
0.0524943828705539	3.8856620789
0.0527721452818154	3.8853521347
0.0530499078255343	3.8850648403
0.0533273941313068	3.8847455978
0.0536051583307654	3.8844366074
0.0538829208082529	3.884147644
0.0541606846434405	3.8838505745
0.0544384476507636	3.8835418224
0.0547162106911831	3.8832354546
0.0549939724070163	3.8829228878
0.0552717365402489	3.8826441765
0.0555495004748191	3.8823320866
0.0558272630847138	3.8820171356
0.0561050255291161	3.8817129135
0.0563827897285469	3.8814198971
0.0566605524047401	3.8810868263
0.0569383148490697	3.8807761669
0.0572160785518212	3.880484581
0.0574938423538957	3.8801727295
0.0577716049969482	3.8798699379
0.0580490901780317	3.8795506954
0.0583268515627349	3.8792412281
0.0586046154310296	3.8789362907
0.0588823793656059	3.87860322
0.0591601425053589	3.8783142567
0.0594379058438455	3.8779821396
0.059715669745281	3.8776812553
0.059993432587017	3.8773713112
0.0602711951638489	3.8770432472
0.0605489575419472	3.8767333031
0.0608267202181181	3.8764028549
0.0611044833910119	3.876087904
0.0613822481534411	3.8757622242
0.0616600113263349	3.8754708767
0.0619377748303588	3.8751242161
0.0622155373409647	3.8748209476
0.0624933013417669	3.8745057583
0.0627710654749935	3.8741760254
0.0630485506560769	3.8738629818
0.0633263133653609	3.8735258579
0.0636040769356604	3.8731973171
0.0638818395787183	3.8728735447
0.0641596043411475	3.8725423813
0.0644373691036045	3.8722217083
0.0647151327401359	3.8718965054
0.0649928963766395	3.8715679646
0.0652706598144652	3.8712360859
0.06554842321915	3.8709146976
0.0658261873524043	3.870568037
0.0661039498961232	3.8702287674
0.066381713201469	3.8698949814
0.0666594751159853	3.8695902824
0.0669372379908342	3.8692281246
0.067215000898824	3.8688995838
0.0674927628133402	3.8685758114
0.0677702483252504	3.8682227135
0.0680480114650312	3.8679087162
0.0683257743729932	3.8675875664
0.0686035370822771	3.8672418594
0.0688812993941494	3.8668968678
0.0691590635605661	3.8665544987
0.0694368268327989	3.8662221432
0.0697145899394667	3.8658638
0.0699923526156098	3.8655524254
0.0702701155235996	3.8652126789
0.0705478786633526	3.8648750782
0.0708256424323361	3.8645288944
0.0711034059363877	3.8641963005
0.0713811686125308	3.8638491631
0.071658933176282	3.8635101318
0.0719366958193121	3.8631751537
0.0722144579987602	3.8628406525
0.0724922198139374	3.8624966145
0.0727697048626736	3.8621678352
0.0730474676050705	3.8618237972
0.0733252301818746	3.8614830971
0.0736029926262267	3.861135006
0.0738807557990928	3.8607907295
0.0741585185414897	3.860460043
0.0744362824429252	3.8601100445
0.0747140463443824	3.8597638607
0.0749918106100887	3.8594143391
0.07526957471023	3.8590836525
0.0755473386779193	3.8587372303
0.0758251017183333	3.8583879471
0.076102864692549	3.8580269814
0.0763806284283917	3.8576958179
0.076658392362968	3.8573608398
0.076936155436495	3.8570268154
0.0772139178146211	3.8566644192
0.077491402598718	3.8563213348
0.0777691650430701	3.8559947014
0.0780469266264285	3.8556563854
0.0783246897661815	3.8552904129
0.0786024513164269	3.8549597263
0.0788802137938643	3.8546056747
0.0791579760064253	3.854278326
0.0794357386494833	3.8539245129
0.0797135007295367	3.8535761833
0.0799912640680233	3.8532543182
0.0802690269097815	3.8529117107
0.0805467893541336	3.8525636196
0.0808245512023961	3.8522396088
0.0811023147727015	3.8518800735
0.0813800781773863	3.8515417576
0.0816578412840541	3.8512046337
0.0819356034965874	3.850880146
0.082213366934413	3.8505225182
0.0824908512883337	3.8502018452
0.0827686134677313	3.8498487473
0.0830463765744212	3.8495004177
0.0833241383895478	3.8491551876
0.083601901363758	3.8488190174
0.0838796631126585	3.8484895229
0.0841574253914681	3.8481481075
0.0844351885643397	3.847815752
0.0847129526313619	3.8474731445
0.0849907154730755	3.8471467495
0.0852684774206996	3.8468174934
0.0855462383748553	3.8464667797
0.0858240001900047	3.8461520672
0.0861017628330627	3.8458168507
0.0863795245488453	3.8454988003
0.0866572858010459	3.8451542854
0.0869350463909541	3.8448309898
0.0872125297195338	3.8445005417
0.0874902911373223	3.8441781998
0.0877680528531098	3.8438417912
0.0880458155292753	3.8435001373
0.0883235758210918	3.8431787491
0.0886013360798423	3.8428397179
0.0888790982592399	3.8425233364
0.0891568593127855	3.8422017097
0.0894346206643021	3.8418560028
0.0897123822145425	3.8415427208
0.089990143797878	3.8412146568
0.0902679051825535	3.8408813477
0.090545667891815	3.840572834
0.0908234303693025	3.840236187
0.0911011922507057	3.8399174213
0.0913789552911197	3.8395824432
0.0916567187289454	3.8392655849
0.0919344796168751	3.838943243
0.0922119630444758	3.8386223316
0.0924897259524378	3.8382997513
0.0927674897214213	3.8379797935
0.0930452517352487	3.8376686573
0.093323013749104	3.8373374939
0.0936007749350785	3.8370099068
0.093878536783341	3.8366875648
0.0941562991614671	3.8363726139
0.0944340614733394	3.8360650539
0.0947118237852395	3.8357522488
0.0949895853354571	3.8354358673
0.0952673460578218	3.8351047039
0.0955451086677667	3.8347818851
0.0958228703173234	3.8344814777
0.0961006316026369	3.8341789246
0.0963783927885837	3.8338434696
0.096656154769326	3.8335208893
0.0969336372706345	3.8332214355
0.0972113984566091	3.8329203129
0.0974891616294751	3.8326084614
0.097766924140081	3.8323016167
0.0980446853591408	3.8319985867
0.0983224484326956	3.8316729069
0.098600212135453	3.8313527107
0.0988779747453701	3.8310346603
0.0991557372890891	3.830747366
0.0994335005944349	3.8304445744
0.0997112635024246	3.8301441669
0.099989025185122	3.829826355
0.10026678709961	3.8295285702
0.100544550669916	3.8292093277
0.100822313644104	3.8289220333
0.10110007555862	3.8286166191
0.101377837870492	3.8283119202
0.101655599983687	3.8280146122
0.10193308533017	3.827712059
0.102210846880438	3.8274121284
0.102488610152671	3.8271019459
0.102766372994434	3.8268275261
0.103044135438759	3.8265166283
0.103321898048704	3.8262038231
0.103599661552755	3.8259181976
0.103877424030193	3.8256249428
0.104155185779116	3.8253288269
0.104432947892283	3.8250427246
0.104710710005477	3.8247392178
0.104988471655061	3.8244326115
0.10526623499352	3.8241405487
0.105543996974262	3.8238646984
0.105821758656932	3.8235702515
0.106099520571448	3.8232727051
0.106377281956101	3.8229880333
0.106654766111624	3.822674036
0.106932528589062	3.8224020004
0.107210289940601	3.8221111298
0.107488051855117	3.8218166828
0.107765812908635	3.821526289
0.108043575617891	3.8212356567
0.108321338393401	3.8209617138
0.108599099844308	3.820684433
0.108876861063367	3.8203940392
0.1091546215208	3.8201143742
0.109432383236583	3.8198153973
0.109710145581596	3.8195359707
0.109987907198068	3.8192574978
0.110265668814511	3.8189458847
0.110543431126411	3.8186793327
0.110821192908448	3.8183939457
0.111098954789851	3.8181116581
0.111376718558834	3.817830801
0.111654201754957	3.8175594807
0.111931964298676	3.8172729015
0.112209725749555	3.8170096874
0.112487488856223	3.8167066574
0.112765253155042	3.8164350986
0.113043015433852	3.8161494732
0.113320776056822	3.8158779144
0.113598538070677	3.8156139851
0.113876298958579	3.8153374195
0.114154060045215	3.8150632381
0.114431821131822	3.8147873878
0.114709582947	3.8145062923
0.1149873441992	3.8142421246
0.115265105914983	3.8139829636
0.115542868524928	3.8137056828
0.11582063130041	3.8134377003
0.116098392850655	3.8131670952
0.116375877733992	3.8128957748
0.116653638489493	3.8126564026
0.116931402854516	3.8123693466
0.117209164040486	3.8120977879
0.117486927312697	3.8118379116
0.117764689359688	3.8115749359
0.118042451406633	3.8112826347
0.118320214678888	3.8110268116
0.118597976626517	3.8107779026
0.118875739534479	3.8105158806
0.119153500654228	3.810261488
0.119431263860235	3.809997797
0.119709025675412	3.8097586632
0.119986787225652	3.8094685078
0.120264550497863	3.8092141151
0.120542311617607	3.8089599609
0.120820074525547	3.8086988926
0.121097836307633	3.8084559441
0.12137532138956	3.8081793785
0.121653082807376	3.8079321384
0.121930844854321	3.8076477051
0.122208606205884	3.8074123859
0.122486368451508	3.8071403503
0.122764131359492	3.8068873882
0.123041893704482	3.8066408634
0.123319656248196	3.8063871861
0.123597417831531	3.8061499596
0.123875180441471	3.8058729172
0.124152941263174	3.8056488037
0.124430703177691	3.8053781986
0.124708465224631	3.8051409721
0.124986226609284	3.804885149
0.125263988358179	3.8046295643
0.125541750372085	3.8043851852
0.125819512352777	3.8041410446
0.126096997302163	3.8038794994
